SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
7838,M.B.B.S.,Tamil Nadu,"Thiruvarur Govt. Medical College, Thiruvarur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2010,100
7839,M.B.B.S.,Tamil Nadu,"Sri Muthukumaran Medical College,Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2010,150
7840,MD - Immuno Haematology & Blood Transfusion,Tamil Nadu,"Sri Ramachandra Medical College & Research Institute, Chennai","Sri Ramachandra Institute of Higher Education & Research(Deemed to be University), Chennai",Trust,1985,4
7841,MD - Radio Diagnosis/Radiology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,5
7842,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"Sri Ramachandra Medical College & Research Institute, Chennai","Sri Ramachandra Institute of Higher Education & Research(Deemed to be University), Chennai",Trust,1985,5
7843,M.Ch - Vascular Surgery,Tamil Nadu,"Stanley Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1838,2
7844,DM - Neonatology,Tamil Nadu,"Madras Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1835,8
7845,DM - Cardiology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,3
7846,M.B.B.S.,Tamil Nadu,"Trichy SRM Medical College Hospital & Research Centre, Trichy","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2009,250
7847,DM - Medical Gastroenterology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,3
7848,DM - Neurology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,1
7849,MD - Psychiatry,Tamil Nadu,"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1965,4
7850,MD - Anaesthesiology,Tamil Nadu,"K A P Viswanathan Government Medical College, Trichy","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1998,13
7851,MD - Pathology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,5
7852,MD - Bio-Chemistry,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,1
7853,MD - Psychiatry,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,4
7854,MD - Paediatrics,Tamil Nadu,"K A P Viswanathan Government Medical College, Trichy","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1998,9
7855,MD - Paediatrics,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,6
7856,"MD - Dermatology , Venereology & Leprosy",Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,8
7857,MS - Orthopaedics,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,2
7858,DM - Nephrology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,1
7859,MS - General Surgery,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,4
7860,MD - Pharmacology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,2
7861,MD - Physiology,Tamil Nadu,"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1965,2
7862,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,6
7863,MD/MS - Ophthalmology,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1985,3
7864,MD - General Medicine,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,12
7865,MD - Radio Diagnosis/Radiology,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,6
7866,MS - General Surgery,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,4
7867,MD - Paediatrics,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,6
7868,MD/MS - Ophthalmology,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,5
7869,MS - Obstetrics & Gynaecology,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,6
7870,MS - Orthopaedics,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,8
7871,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Tamil Nadu,"Stanley Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1838,6
7872,MS - Orthopaedics,Tamil Nadu,"Stanley Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1838,16
7873,MD - Bio-Chemistry,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,3
7874,MD - Psychiatry,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,2
7875,MD - General Medicine,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,20
7876,MD - Paediatrics,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,12
7877,"MD - Dermatology , Venereology & Leprosy",Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,7
7878,MS - Orthopaedics,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,15
7879,MD - Anaesthesiology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,10
7880,MD/MS - Anatomy,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,2
7881,MD - Microbiology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,3
7882,MS - Obstetrics & Gynaecology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,15
7883,MD - Radio Diagnosis/Radiology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,11
7884,MD - Pathology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,10
7885,MS - General Surgery,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,21
7886,MD/MS - Ophthalmology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,2
7887,MD - Social & Preventive Medicine / Community Medicine,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,8
7888,MS - ENT,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,3
7889,MD - Pharmacology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,3
7890,MD - Physiology,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2003,4
7891,MD - General Medicine,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,10
7892,MD - Microbiology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7893,MS - Orthopaedics,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7894,MD - Pharmacology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,1
7895,MD/MS - Ophthalmology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,3
7896,MS - ENT,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7897,"MD - Dermatology , Venereology & Leprosy",Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,3
7898,MS - General Surgery,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,12
7899,MD - Bio-Chemistry,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7900,MD/MS - Anatomy,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7901,MD - Social & Preventive Medicine / Community Medicine,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,4
7902,MD - Anaesthesiology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,7
7903,MS - Obstetrics & Gynaecology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,3
7904,MD - Physiology,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,2
7905,MD - Paediatrics,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,2003,6
7906,M.B.B.S.,Tamil Nadu,"ACS Medical College and Hospital, Chennai","Dr. MGR Educational and Research Institute (Deemed University), Chennai",Trust,2008,250
7907,M.B.B.S.,Tamil Nadu,Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research,"The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2008,150
7908,"MD - Dermatology , Venereology & Leprosy",Tamil Nadu,"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1965,6
7909,MD - Pharmacology,Tamil Nadu,"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1965,2
7910,MS - ENT,Tamil Nadu,"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1965,4
7911,MD - Anaesthesiology,Tamil Nadu,"Kilpauk Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1960,16
7912,MS - Orthopaedics,Tamil Nadu,"Govt. Mohan Kumaramangalam Medical College, Salem- 30","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1986,10
7913,MD - Microbiology,Tamil Nadu,"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1959,2
7914,MD - Psychiatry,Tamil Nadu,"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1959,4
7915,MD - Physiology,Tamil Nadu,"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1959,3
7916,M.B.B.S.,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",SRM Institute of Science & Technology (Formerly SRM University),Trust,2005,250
7917,M.Ch - Surgical Gastroenterology/G.I. Surgery,Tamil Nadu,"Sri Ramachandra Medical College & Research Institute, Chennai","Sri Ramachandra Institute of Higher Education & Research(Deemed to be University), Chennai",Trust,1985,2
7918,MD - Physiology,Telangana,"Chalmeda Anand Rao Insttitute Of Medical Sciences, Karimnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2003,3
7919,MD - Anaesthesiology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,40
7920,MS - Ophthalmology,Telangana,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,4
7921,M.B.B.S.,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Dr. YSR University of Health Sciences,Trust,1999,200
7922,MD - Anaesthesiology,Telangana,"S V S Medical College, Mehboobnagar",Dr. YSR University of Health Sciences,Trust,1999,15
7923,MD - Emergency Medicine,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,3
7924,"MD - Dermatology , Venereology & Leprosy",Telangana,"Kamineni Institute of Medical Sciences, Narketpally","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,3
7925,MD - Physiology,Telangana,"Dr. VRK Womens Medical College, Aziznagar",Dr. YSR University of Health Sciences,Trust,2010,2
7926,DM - Neuro Anaesthesia,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,4
7927,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,5
7928,"MD - Dermatology , Venereology & Leprosy",Telangana,"Mahavir Institute of Medical Sciences, Vikarabad, Telengana",Dr. YSR University of Health Sciences,Trust,2016,2
7929,M.Ch - Urology/Genito-Urinary Surgery,Telangana,"Gandhi Medical College, Secunderabad",Dr. YSR University of Health Sciences,Govt.,1954,2
7930,MS - Orthopaedics,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,8
7931,MD - General Medicine,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,28
7932,M.Ch - Paediatric Surgery,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,8
7933,DM - Critical Care Medicine,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,4
7934,MD - Paediatrics,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,12
7935,MS - ENT,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Dr. YSR University of Health Sciences,Trust,1999,3
7936,DM - Neurology,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,8
7937,MD - Pharmacology,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Dr. YSR University of Health Sciences,Trust,1999,4
7938,Diploma in Tuberculosis & Chest Diseases,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,2
7939,MD - Radio Diagnosis/Radiology,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,12
7940,MS - Otorhinolaryngology,Telangana,"Government Medical College, Suryapet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2019,3
7941,MD - Forensic Medicine/Forensic Medicine & Toxicology,Telangana,"Mamata Medical College, Khammam","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1998,2
7942,MD - Pathology,Telangana,"Mamata Medical College, Khammam","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1998,4
7943,MD - Social & Preventive Medicine / Community Medicine,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,5
7944,MD/MS - Anatomy,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,3
7945,MS - Obstetrics and Gynaecology,Telangana,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,2
7946,MS - Orthopaedics,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,12
7947,MD - Microbiology,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Dr. YSR University of Health Sciences,Trust,1999,2
7948,MS - General Surgery,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,15
7949,DM - Medical Gastroenterology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,5
7950,MS - General Surgery,Telangana,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,4
7951,MD/MS - Ophthalmology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,34
7952,MD - Forensic Medicine/Forensic Medicine & Toxicology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,10
7953,MD - Radiotherapy/ Radiation Oncology,Telangana,"Nizams Institute of Medical Sciences, Hyderabad","Nizams Institute of Medical Sciences (Deemed University), Hyderabad",Govt.,,3
7954,"MD - Dermatology , Venereology & Leprosy",Telangana,"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,2016,3
7955,MS - ENT,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,6
7956,DM - Neurology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,5
7957,MD - Psychiatry,Telangana,"Mamata Medical College, Khammam",Dr. YSR University of Health Sciences,Trust,1998,6
7958,MD - Psychiatry,Telangana,"S V S Medical College, Mehboobnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,3
7959,MD - General Medicine,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,22
